idProduct,idCategory,day,image,price,quantity,product_name,description
3,1,20/10/2019,somi(1).jpg,499.000 VND,10,Áo sơ mi,"Dáng thông thường(regular)\r\nCó mũ, tay dài"
4,1,28/10/2019,somi(2).jpg,599.000 VND,5,Áo sơ mi,"Dáng thông thường(regular)\r\nCó mũ, tay dài"
5,1,20/10/2019,somi(3).jpg,300.000 VND,14,Áo sơ mi nam dài tay kẻ caro,"Áo sơ mi Cotton USA kẻ caro.\r\nPhom dáng regular, cổ đức, tay dài, có cúc cài trang trí ở lá cổ.\r\nPhù hợp mặc quanh năm. Mặc thoải mái, dễ chịu có thể kết hợp với quần jeans, khaki."
6,1,20/10/2019,somi(4).jpg,599.000 VND,5,Áo sơ mi nam,"Áo sơ mi bamboo pha kẻ caro.\r\nPhom regular, cổ đức, tay dài.\r\nĐơn giản, lịch sự rất phù hợp mặc nơi công sở. Có thể kết hợp với quần âu, quần khaki, giày tây."
7,1,20/10/2019,somi(5).jpg,300.000 VND,12,Áo sơ mi nam,"Áo sơ mi denim cotton họa tiết kẻ sọc.\r\nPhom regular, cổ đức, tay dài.\r\nCó túi ngực, cài cúc phía trước.\r\nThích hợp mặc quanh năm. Kiểu dáng đơn giản, lịch sự phù hợp nhiều hoàn cảnh.\r\nCó thể phối với nhiều dáng quần: quần jeans, khak, giày lười, giày tây"
8,1,20/10/2019,somi(6).jpg,599.000 VND,20,Áo sơ mi nam,"Áo sơ mi cotton kẻ caro.\r\nPhom regular, cổ đức, tay dài.\r\nDòng hàng cơ bản bắt buộc có trong mùa."
9,1,20/10/2019,somi(7).jpg,200.000 VND,12,Áo sơ mi nam,Áo sơ mi nam
10,1,20/10/2019,somi(8).jpg,215.000 VND,17,Áo sơ mi nam ngắn tay,"Áo sơ mi nam ngắn tay in họa tiết nằm trong bộ sưu tập JOURNEY TO THE EAST\r\nChất liệu linen đặc biệt mềm mại, thoáng mát\r\nVới đặc tính sợi vải không xô dạt, không phai màu nên càng sử dụng lâu, linen càng mềm mại và êm ái hơn\r\n"
11,2,20/10/2019,aokhoac(1).jpg,400.000 VND,10,Áo khoác,Áo khoác nam đen
12,2,20/10/2019,aokhoac(2).jpg,300.000 VND,5,Áo khoác nam,Áo khoác nam
13,2,20/10/2019,aokhoac(3).jpg,500.000 VND,9,Áo khoác nam,"Dáng thông thường (Regular)\r\nCHẤT LIỆU\r\n100%cotton\r\nGiặt máy ở chế độ nhẹ nhàng, nhiệt độ thông thường\r\nSử dụng hóa chất tẩy không có chất Clo\r\nSấy khô ở nhiệt độ thấp 110°, là ở nhiệt độ trung bình 150°\r\nGiặt với sản phẩm cùng màu\r\nNên phơi vắt ngang"
